year,crime_lvl1,crime_lvl2,crime_lvl3,group,detail,count
2023,특별법범,개발제한구역의지정및관리에관한특별조치법,소계,전과,소계,203
2023,특별법범,개인정보보호법,소계,전과,소계,547
2023,특별법범,건강기능식품에관한법률,소계,전과,소계,47
2023,특별법범,건설기계관리법,소계,전과,소계,201
2023,특별법범,건설산업기본법,소계,전과,소계,824
2023,특별법범,건축법,소계,전과,소계,1110
2023,특별법범,게임산업진흥에관한법률,소계,전과,소계,2422
2023,특별법범,결혼중개업의관리에관한법률,소계,전과,소계,29
2023,특별법범,경범죄처벌법,소계,전과,소계,5591
2023,특별법범,고용보험법,소계,전과,소계,505
2023,특별법범,공유수면관리및매립에관한법률,소계,전과,소계,129
2023,특별법범,공유재산및물품관리법,소계,전과,소계,58
2023,특별법범,공인중개사법,소계,전과,소계,1441
2023,특별법범,공중위생관리법,소계,전과,소계,663
2023,특별법범,공직선거법,소계,전과,소계,35
2023,특별법범,관세법,소계,전과,소계,27
2023,특별법범,교통사고처리특례법,소계,전과,소계,29810
2023,특별법범,국가기술자격법,소계,전과,소계,38
2023,특별법범,국가보안법,소계,전과,소계,30
2023,특별법범,국민체육진흥법,소계,전과,소계,149
2023,특별법범,국토의계획및이용에관한법률,소계,전과,소계,945
2023,특별법범,근로기준법,소계,전과,소계,3583
2023,특별법범,근로자퇴직급여보장법,소계,전과,소계,649
2023,특별법범,낚시관리및육성법,소계,전과,소계,97
2023,특별법범,노동조합및노동관계조정법,소계,전과,소계,49
2023,특별법범,농수산물유통및가격안정에관한법률,소계,전과,소계,78
2023,특별법범,농수산물의원산지표시등에관한법률,소계,전과,소계,374
2023,특별법범,농지법,소계,전과,소계,413
2023,특별법범,대기환경보전법,소계,전과,소계,1077
2023,특별법범,대부업등의등록및금융이용자보호에관한법률,소계,전과,소계,736
2023,특별법범,도로교통법,소계,전과,소계,5373
2023,특별법범,도로교통법(무면허운전),소계,전과,소계,14899
2023,특별법범,도로교통법(사고후미조치),소계,전과,소계,2949
2023,특별법범,도로교통법(음주운전),소계,전과,소계,64417
2023,특별법범,도로교통법(음주측정거부),소계,전과,소계,2780
2023,특별법범,도로법,소계,전과,소계,4643
2023,특별법범,도시및주거환경정비법,소계,전과,소계,191
2023,특별법범,독점규제및공정거래에관한법률,소계,전과,소계,3
2023,특별법범,디자인보호법,소계,전과,소계,18
2023,특별법범,마약류관리에관한법률(대마),소계,전과,소계,1003
2023,특별법범,마약류관리에관한법률(마약),소계,전과,소계,1106
2023,특별법범,마약류관리에관한법률(향정),소계,전과,소계,6861
2023,특별법범,물환경보전법,소계,전과,소계,217
2023,특별법범,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,전과,소계,9
2023,특별법범,범죄수익은닉의규제및처벌등에관한법률,소계,전과,소계,109
2023,특별법범,변호사법,소계,전과,소계,153
2023,특별법범,병역법,소계,전과,소계,1606
2023,특별법범,보조금관리에관한법률,소계,전과,소계,666
2023,특별법범,부동산실권리자명의등기에관한법률,소계,전과,소계,313
